region_district,health_2007,health_2009,health_2010,population_1991,population_2002,population_projected_2011,population_2012,primary_education_gross_intake_2009,primary_education_net_intake_2009,primary_education_gross_enrolment_2009,primary_education_net_enrolment_2009,primary_education_gross_intake_2010,primary_education_net_intake_2010,primary_education_gross_enrolment_2010,primary_education_net_enrolment_2010,secondary_education_gross_intake_2009,secondary_education_net_intake_2009,secondary_education_gross_enrolment_2009,secondary_education_net_enrolment_2009,secondary_education_gross_intake_2010,secondary_education_net_intake_2010,secondary_education_gross_enrolment_2010,secondary_education_net_enrolment_2010,urbanised_areas,bushlands,commercial_farmlands,cultivated_lands,grasslands,impediments,plantations,plantations_softwoods,depleted_tropical_forest,tropical_forest,water_bodies,wetlands,woodlands
Nebbi,57,57,57,"185,551","266,312","337,400","346,200",210,77,143,114,217,72,145,103,20,1,15,11,26,1,16,13,0.8,191.5,1.2,"1,783.20",627.6,-,1.2,15.3,-,1.4,82.3,31.8,181
Ntungamo,36,36,54,"305,199","379,987","469,000","480,100",211,77,133,98,220,83,133,93,37,2,28,23,41,3,28,24,1.3,2.6,-,987.4,971.1,-,2.2,2.5,-,-,4.1,70,14.3
Pader,55,55,79,"80,938","142,320","221,000","231,700",159,63,145,118,150,54,140,103,21,1,10,9,20,1,9,9,3.3,11.5,-,"4,354.60",673.6,2.9,0,0,-,-,5.8,-,"1,877.60"
Pallisa,40,40,40,"166,092","255,870","350,000","362,600",186,97,149,128,160,88,147,118,38,6,27,23,46,8,29,25,2.7,3.6,2.1,"1,463.00",134.6,0.3,0.3,-,-,-,66.3,312.1,6.9
Rakai,65,92,105,"330,401","404,326","475,600","484,400",170,82,129,109,170,83,127,99,37,9,24,22,39,9,25,23,3.3,255.5,1.6,"1,605.10","1,928.40",1.2,5.2,-,23.8,135.9,755.3,88.6,104.8
Rukungiri,65,65,98,"230,072","275,162","316,400","321,300",191,82,137,82,171,76,132,90,64,5,37,30,64,5,33,30,1.7,33.9,-,876.4,333.1,-,4.2,-,-,125.8,118.8,9.3,63.5
Sembabule,21,23,23,"144,039","180,045","215,200","219,600",151,77,142,115,120,70,131,96,46,5,34,27,56,7,49,40,0.6,456.9,0.1,855.1,852.1,-,0.7,-,-,-,0.8,36,117
Sironko,36,36,38,"147,729","185,819","233,500","239,600",-,-,-,-,188,88,134,99,-,-,-,-,67,10,44,37,1.8,28.9,2.3,592.5,249.4,-,0.4,-,45.3,15.6,-,30.1,127.6
Soroti,47,44,59,"113,872","193,310","305,800","322,000",175,91,169,144,180,92,161,127,46,5,29,26,50,6,29,26,13.5,25.3,4.3,"1,831.60",723.8,-,0.1,2.1,-,-,503.7,225.2,48.1
Tororo,53,53,72,"285,299","379,399","475,700","487,900",175,89,169,136,175,95,166,127,51,8,42,34,60,9,42,34,10.1,31.5,36.9,"1,513.10",55.8,0.1,1.5,-,0.3,0,0.1,178.6,21.2
Wakiso,95,99,104,"562,887","907,988","1,315,300","1,371,600",94,41,101,79,93,40,97,73,54,18,50,43,53,17,46,41,30.8,38.6,24,"1,256.20",209.1,0.6,2.4,0.1,160.8,50.7,901.1,64.7,68.6
Yumbe,17,17,56,"99,794","251,784","504,500","545,500",118,42,80,65,117,40,77,58,19,2,12,9,22,2,13,11,0.1,2.8,-,909.6,437,1.2,0.5,-,-,-,10,12.6,"1,029.10"
Tororo,10.1,53,53,72,"285,299","379,399","475,700","487,900",175,89,169,136,175,95,166,127,51,8,42,34,60,9,42,34,,,,,,,,,,,,
Wakiso,30.8,95,99,104,"562,887","907,988","1,315,300","1,371,600",94,41,101,79,93,40,97,73,54,18,50,43,53,17,46,41,,,,,,,,,,,,
Yumbe,0.1,17,17,56,"99,794","251,784","504,500","545,500",118,42,80,65,117,40,77,58,19,2,12,9,22,2,13,11,,,,,,,,,,,,
